category,name,priceRub,packDisplay,mainPhotoId,mainPhotoFile,status,hasFlavorChoice,flavors,flavorPhotoFallbacks,issues
Вода/Минералка,"серноводская 0,5л пэт",320,12 ?? ? ??,voda-1,voda-1.jpg,active,???,,,
Вода/Минералка,"серноводская 0,5л стекло",550,12 ?? ? ??,voda-2,voda-2.jpg,active,???,,,
Вода/Минералка,"серноводская 1,5л пэт",270,6 ?? ? ??,voda-3,voda-3.jpg,active,???,,,
Вода/Минералка,серноводская 5л,150,2 ?? ? ??,voda-4,voda-4.jpg,active,???,,,
Вода/Минералка,"серноводская лимон 0,5л",460,12 ?? ? ??,voda-5,voda-5.jpg,active,???,,,
Вода/Минералка,"серноводская минеральная 0,5л стекло",690,12 ?? ? ??,voda-6,voda-6.jpg,active,???,,,
Вода/Минералка,"родники 0,5л",165,12 ?? ? ??,voda-7,,draft,???,,,?? ??????? ???????? ????: voda-7
Вода/Минералка,"пилигрим 0,5л",480,12 ?? ? ??,voda-8,voda-8.jpg,active,???,,,
Вода/Минералка,"шишкин лес 0,4л",465,12 ?? ? ??,voda-9,voda-9.jpg,active,???,,,
Вода/Минералка,"шишкин лес спорт 0,4л",560,12 ?? ? ??,voda-10,voda-10.jpg,active,???,,,
Вода/Минералка,шишкин лес 1л,580,12 ?? ? ??,voda-11,voda-11.jpg,active,???,,,
Вода/Минералка,шишкин лес спорт 1л,650,12 ?? ? ??,voda-12,voda-12.jpg,active,???,,,
Вода/Минералка,"горная 1,5л пэт",240,6 ?? ? ??,voda-13,voda-13.jpg,active,???,,,
Вода/Минералка,горная 5л,60,1 ?? ? ??,voda-14,,draft,???,,,?? ??????? ???????? ????: voda-14
Вода/Минералка,"горная лимон 0,5л",410,12 ?? ? ??,voda-15,voda-15.jpg,active,???,,,
Вода/Минералка,"бабугент 0,3л",540,12 ?? ? ??,voda-16,voda-16.jpg,active,???,,,
Вода/Минералка,"бабугент 0,65л",720,12 ?? ? ??,voda-17,voda-17.jpg,active,???,,,
Вода/Минералка,боржоми 0.5 минеральная стекло,1200,12 ?? ? ??,voda-new-1,voda-new-1.jpg,active,???,,,
Газированные,"исаев 0,33л ж/б",1480,12 ?? ? ??,gaz-1,gaz-1.jpg,active,??,Каламанси; Манго; Вишня; Гуава; Маракуя; Гранат,Каламанси; Манго; Вишня; Гуава; Маракуя; Гранат,
